HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.242573,-0.107231,21.696331,253.12,10.610001,-8.634289,2.20752,14.121279,0.8337,0.6147,4.976,0.55,0.8445,0.6762,5.2071,0.7383,0.8013,0.2674,4.5286,2.5587,0.7076,0.7031,3.9277,1.8439,0.7355,0.5569,4.3157,0.3577,0.7676,0.6246,4.4893,0.8107,2,1,2,4,1.967149,1.998984,2.182437,2.377968,5.324479,4.841152,5.324939,8.105007,1.4448,0.599715471,0.790000021
-0.180539,-0.07248,9.012391,81.51,218.81,-8.684429,2.0393,14.121284,0.9754,0.3397,5.3396,3.9655,0.9507,0.382,4.9775,3.4745,0.9659,0.3176,4.3221,3.6108,0.9463,0.3412,5.1166,3.9428,0.908,0.3849,4.8809,3.4787,0.8546,0.4174,4.8061,3.0363,1,1,1,2,1.991395,2.013664,2.07919,2.14669,4.840515,4.840381,4.841996,5.325426,1.4906,0.416625112,0.889999986
-0.214832,-0.079339,7.64147,243.48,101.79,-8.526739,2.02463,14.12128,0.7659,0.659,3.8518,0.5266,0.8451,0.5808,4.3403,2.3227,0.7022,0.5968,3.2589,1.0492,0.6132,0.6603,3.0255,0.5072,0.6549,0.605,3.316,1.9727,0.7109,0.6325,3.2257,1.1113,2,2,2,2,1.944343,1.995296,2.064363,2.064787,5.324261,5.324199,5.324483,5.324465,1.3441,0.23223567,0.097000003
-0.172958,-0.067854,2.856996,0.38,21.16,-8.3619,1.78561,14.121284,0.9111,0.5316,4.776,2.4751,0.9212,0.5362,4.8554,2.2989,0.8961,0.4737,3.9384,1.391,0.8749,0.5288,4.6194,2.4988,0.8609,0.5321,4.455,2.3002,0.7579,0.626,4.1079,1.7585,1,1,2,2,1.964379,1.964379,2.143432,2.143432,4.840647,4.840647,5.325166,5.325168,1.406,0.503030479,0.140000001
-0.237902,-0.104587,19.954956,296.01,33.92,-8.976059,2.19814,14.121278,0.8854,0.5499,5.2312,3.146,0.8645,0.6553,4.8288,1.7275,0.8915,0.6118,5.3146,1.9821,0.7113,0.6124,3.9537,2.1703,0.822,0.6085,4.7407,2.2495,0.7806,0.6145,4.3929,1.7488,2,1,2,4,1.966891,2.022372,2.168895,2.379757,5.324491,4.84064,5.324928,8.105008,1.4448,0.639203131,0.140000001
-0.230467,-0.091656,12.761402,24.2,201.44,-7.683415,2.3457,14.121285,0.828,0.639,4.0473,1.1628,0.8633,0.5788,4.3807,2.2241,0.846,0.5857,3.5437,1.5255,0.7241,0.6368,3.6354,1.1727,0.7627,0.5845,3.8944,1.8204,0.7878,0.6005,3.8558,1.3147,1,1,2,2,1.992983,2.028991,2.069246,2.098055,4.841035,4.840945,5.324851,5.324805,1.4448,0.591588497,0.579999983
-0.20724,-0.084142,7.68138,6.58,161.140001,-7.115272,2.34264,14.12128,0.943,0.4476,5.3547,3.5238,0.937,0.3819,5.8845,4.6066,0.8388,0.5416,4.7196,1.5154,0.8712,0.4515,4.8445,3.4066,0.732,0.5757,4.1233,0.9247,0.8335,0.4644,4.6627,2.6297,1,2,2,3,1.923239,2.014567,2.092735,2.135042,4.841198,5.324522,5.324685,5.744794,1.4448,0.749732673,0.769999981
-0.213517,-0.08138,6.534642,0.13,0.209974,-9.126919,2.47012,14.121281,0.8817,0.5209,5.2036,2.5953,0.9236,0.3407,5.6815,4.0746,0.8106,0.5856,4.1912,1.2162,0.7807,0.5428,4.6316,2.315,0.8333,0.3799,4.7887,3.5589,0.648,0.7374,3.5107,0.333,1,1,2,2,1.949,2.013,2.077397,2.077576,4.841278,4.843083,5.324778,5.324777,1.4448,0.606775701,0.519999981
-0.221571,-0.105977,9.869795,95.81,244.91,-7.088438,1.86308,14.121281,0.8404,0.5184,4.2222,2.1525,0.8251,0.5524,3.9187,1.874,0.9581,0.2594,4.5215,3.3697,0.7804,0.5257,3.9553,2.1342,0.7629,0.7394,3.8212,0.7205,0.7883,0.4584,3.8029,2.4406,1,2,3,2,1.973968,2.02709,2.06574,2.088703,4.841095,5.32466,5.745185,5.324764,1.4448,0.166556075,0.469999999
-0.207142,-0.084026,7.945313,9.54,168.590001,-7.073338,2.33562,14.12128,0.942,0.4634,5.3672,3.3538,0.94,0.3733,5.8481,4.6506,0.8378,0.5473,4.6772,1.758,0.8696,0.468,4.8538,3.2254,0.7491,0.5716,4.0585,1.463,0.8363,0.4367,4.8182,3.6264,1,2,2,3,1.918267,2.015611,2.097381,2.124511,4.841193,5.324504,5.324735,5.744829,1.4448,0.728931308,0.819999993
