HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,Exp. Quantum Yield
-0.242572891,-0.107231117,21.69633129,253.12,10.61,-8.634288963,2.20752,14.1212793,0.8337,0.6147,4.976,0.55,0.8445,0.6762,5.2071,0.7383,0.8013,0.2674,4.5286,2.5587,0.7076,0.7031,3.9277,1.8439,0.7355,0.5569,4.3157,0.3577,0.7676,0.6246,4.4893,0.8107,2,1,2,4,1.967148698,1.998984242,2.182436712,2.37796825,5.32447851,4.841151934,5.324938606,8.105006969,1.4448,0.79
-0.208833384,-0.08334096,6.58630526,0.92,28.97,-10.52338427,2.22194,14.12128007,0.9571,0.4608,5.4637,3.9152,0.9657,0.3888,6.2284,4.8065,0.8119,0.6599,4.134,1.2838,0.7513,0.5491,4.1067,2.628,0.8353,0.5607,4.4381,2.4568,0.8366,0.506,4.9149,2.8758,1,2,2,3,1.92624635,2.005841719,2.099312745,2.201183545,4.841209666,5.324324773,5.324719541,5.74498654,1.4448,0.72
-0.201967064,-0.062763904,9.2317541,15.4,66.09,-7.769794596,2.53544,14.12128237,0.9379,0.6108,5.5525,2.172,0.9068,0.583,5.5038,2.1472,0.8769,0.604,5.1273,1.5772,0.7418,0.6003,4.4402,2.0643,0.8507,0.5965,4.703,1.6997,0.833,0.5914,4.8817,2.0603,1,1,2,2,1.97984166,1.988014839,2.164046672,2.169133007,4.8402163,4.840424742,5.325360434,5.324797454,1.4448,0.48
-0.227644334,-0.115388278,16.54478997,158.97,282.24,-7.198642482,1.75855,14.12127859,0.8793,0.5803,4.6794,2.6634,0.8748,0.4888,4.1812,2.3164,0.8937,0.4839,4.6336,2.0408,0.8109,0.5788,4.2241,2.5811,0.8184,0.4873,4.2864,2.028,0.8026,0.5082,4.16,2.1886,2,1,2,4,1.989380808,2.002195295,2.132965307,2.387050691,5.324515139,4.840966631,5.325089571,8.105016293,1.4448,0.001
-0.200128142,-0.083517836,7.90494773,6.39,143.7,-7.384984953,2.20086,14.1212799,0.949,0.4383,5.5172,3.6721,0.9514,0.3536,6.2993,5.0985,0.8484,0.529,4.8565,1.5754,0.8833,0.4411,5.0278,3.5811,0.8334,0.4308,5.0037,3.6809,0.7586,0.5578,4.1425,1.6635,1,2,2,3,1.920210926,2.017480607,2.096218977,2.143951958,4.841200189,5.324522785,5.324699624,5.744880079,1.4448,0.95
-0.240136234,-0.104252441,19.46192418,277.9,24.86,-9.115939697,2.19685,14.1212791,0.8611,0.6297,4.9682,1.955,0.8643,0.5947,4.7946,2.1695,0.8473,0.2307,4.4564,3.2014,0.7092,0.7096,3.9276,1.4107,0.8034,0.5178,4.5625,2.6453,0.7753,0.6626,4.2251,1.071,2,1,2,4,1.967579986,2.004433835,2.185423986,2.378519287,5.324482115,4.841045701,5.324960758,8.105006154,1.4448,0.63
-0.198456131,-0.06768528,8.02505412,171.19,191.76,-8.300067712,2.14309,14.12128479,0.8415,0.6383,4.2116,1.1788,0.867,0.3309,3.7605,1.7636,0.858,0.5194,4.3745,1.9702,0.7172,0.6252,3.6825,1.2968,0.7955,0.5458,4.0893,2.0393,0.813,0.3603,3.6863,1.6866,1,1,2,2,1.99529672,2.023609152,2.066520989,2.098211143,4.841194819,4.841039777,5.32461099,5.324580647,1.406,0.73
-0.192382819,-0.076452119,4.61209606,109.02,239.48,-8.425069903,2.03779,14.12128165,0.9083,0.4714,5.1264,3.9894,0.9388,0.4059,5.8406,4.3933,0.8426,0.2383,3.4449,2.3427,0.8396,0.4789,4.5482,3.8925,0.8097,0.4594,4.5128,4.1225,0.7215,0.5546,4.013,2.7902,1,1,2,2,1.981591532,1.988591461,2.157694371,2.184997025,4.840220885,4.840788957,5.325823967,5.324791562,1.406,0.81
-0.225602398,-0.087857397,10.34473927,14.63,190.59,-7.683197702,2.24735,14.12127964,0.7978,0.6914,3.8524,0.9035,0.8576,0.5496,4.3004,2.152,0.7806,0.2844,3.3746,2.0212,0.705,0.6959,3.4984,0.9251,0.7784,0.5545,3.8938,2.1349,0.755,0.7241,3.8568,1.0928,1,2,2,4,1.908006551,2.057140248,2.095740919,2.492205449,4.84119395,5.324759229,5.324724314,8.104992472,1.4448,0.68
-0.215401154,-0.08685111,10.61522747,14.74,179.15,-7.741775018,2.12797,14.12127961,0.8398,0.6504,4.0836,1.6102,0.859,0.5844,4.2777,2.0048,0.8095,0.2703,3.4063,2.0537,0.7651,0.6541,3.7505,1.6011,0.7631,0.5896,3.8357,1.8667,0.735,0.7427,3.7192,1.0344,1,2,2,4,1.901490205,2.059114858,2.101314351,2.482193385,4.841071135,5.324749344,5.324714623,8.10499153,1.4448,0.3
-0.197389039,-0.068287308,9.01264829,6.48,39.44,-7.093964383,2.41924,14.12128239,0.906,0.6007,5.5715,2.2758,0.9285,0.5288,5.6301,2.7391,0.8817,0.6734,5.1519,1.2539,0.7892,0.6072,4.808,2.1298,0.7722,0.6331,4.4427,1.7787,0.874,0.571,5.2364,2.3581,1,1,2,2,1.973566822,1.993244842,2.158292381,2.18100917,4.840456356,4.840219383,5.324749003,5.325416398,1.4448,0.81
-0.2006094,-0.079182753,10.86631982,94.99,51,-6.497634359,2.50346,14.12128492,0.9701,0.3037,6.5087,5.4157,0.9296,0.4049,5.4957,3.863,0.9109,0.5116,5.2554,2.3734,0.9018,0.3389,5.8803,5.0209,0.8686,0.418,5.0174,3.748,0.7474,0.5876,4.0757,1.9561,1,1,1,2,1.991188088,2.038973761,2.060042233,2.084146348,4.840334636,4.840345702,4.84205947,5.324792584,1.4448,0.02
-0.204344547,-0.092466998,9.51301,54.08,463.64,-6.42656446,2.13139,14.12128183,0.9538,0.3274,5.2451,3.9316,0.9213,0.4327,5.0106,3.2253,0.8906,0.3149,5.236,1.0447,0.9217,0.3359,5.0015,3.8111,0.853,0.4321,4.7259,3.199,0.8572,0.3588,4.8944,1.0944,1,1,2,2,1.971336095,1.992324522,2.171083831,2.171572241,4.840183018,4.84043146,5.325175632,5.325316975,1.4448,0.53
-0.220548134,-0.091186165,17.17957745,111.94,37.18,-12.00558378,2.12342,14.1212787,0.8956,0.584,5.5503,3.2643,0.9574,0.4822,6.64,5.2717,0.8155,0.6435,4.8752,1.4634,0.7238,0.5565,3.8537,3.8992,0.7546,0.6061,4.4347,1.7353,0.8295,0.5713,5.3613,3.0394,2,1,2,4,1.97402153,2.004819443,2.180490541,2.388643967,5.324460877,4.840842207,5.324950729,8.10500474,1.4448,0.68
-0.214832467,-0.079338609,7.64147035,243.48,101.79,-8.526738604,2.02463,14.12128002,0.7659,0.659,3.8518,0.5266,0.8451,0.5808,4.3403,2.3227,0.7022,0.5968,3.2589,1.0492,0.6132,0.6603,3.0255,0.5072,0.6549,0.605,3.316,1.9727,0.7109,0.6325,3.2257,1.1113,2,2,2,2,1.944343077,1.995296469,2.064362613,2.064787156,5.324261391,5.324199272,5.324483332,5.324464628,1.3441,0.097
