Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,
143,-0.211407754,-0.072763072,10.53803422,322.21,287.91,0.0006223,2.72939,1357673.629,0.9456,0.3661,5.1721,4.166,0.9533,0.3908,4.8501,3.8806,0.9582,0.3515,5.5092,3.7386,0.8751,0.3777,4.7966,3.9966,0.8708,0.4334,4.5405,3.3255,0.7242,0.5629,3.6092,1.5814,1,1,2,2,1.958045199,2.002422033,2.088272971,2.150208827,126.52118,126.51185,205.44773,205.45804,475788.9197,454.3139676,1.4448,0.39,130000,430,3,,"Chem. Sci., 2016,7, 1653-1673",,
144,-0.210260253,-0.063436734,12.80502413,42.5,245.53,0.00148,2.62942,1357675.896,0.8357,0.5155,4.0995,2.5043,0.9392,0.5321,5.0391,2.2944,0.8893,0.5302,4.518,2.283,0.7083,0.5219,3.4296,2.4532,0.7979,0.5261,4.1901,2.7485,0.7711,0.5464,3.8427,1.8834,1,1,1,2,1.949433251,2.045835282,2.052791758,2.16900461,126.52585,126.5272,126.71305,205.39872,575331.2321,471.5868899,1.4448,0.07,175000,442,0.4,,"Chem. Sci., 2016,7, 1653-1673","Chem. Sci., 2016,7, 1653-1673",
145,-0.197389039,-0.068287308,9.01264829,6.48,39.44,0.0008301,2.41924,1357672.497,0.906,0.6007,5.5715,2.2758,0.9285,0.5288,5.6301,2.7391,0.8817,0.6734,5.1519,1.2539,0.7892,0.6072,4.808,2.1298,0.7722,0.6331,4.4427,1.7787,0.874,0.571,5.2364,2.3581,1,1,2,2,1.973566822,1.993244842,2.158292381,2.18100917,126.52708,126.4971,205.35681,205.49391,237338.2596,512.5576627,1.4448,0.81,62800,491,12.9,,"Chem. Sci., 2016,7, 1653-1673",,
146,-0.227261653,-0.084086127,7.0755972,25.96,216.54,0.0001749,2.32437,1357669.535,0.7677,0.6923,3.5855,0.884,0.807,0.2969,3.4783,2.4349,0.986,0.0885,5.1376,4.7267,0.6835,0.6972,3.3282,0.8793,0.7358,0.6978,3.5287,1.1075,0.7565,0.2971,3.3638,2.41,1,2,2,4,1.975492344,2.034609791,2.07951653,2.500459558,126.5981,205.35437,205.35292,3310.98356,66701.80399,533.4778886,1.4448,0.002,1110,485,1.8,,"Adv. Mater. 2017, 29, 1601861",,
147,-0.231402231,-0.089306107,9.68254278,45.64,195.11,0.0004186,2.33123,1357668.838,0.7934,0.6881,3.7936,0.8647,0.8477,0.562,4.2537,1.9564,0.8098,0.6981,3.979,0.4411,0.6926,0.693,3.4196,0.9099,0.7554,0.7152,3.7831,0.9895,0.7704,0.5679,3.904,1.9198,1,2,2,4,1.912002354,2.053922345,2.09318991,2.493057962,126.62502,205.36253,205.35007,3310.95955,127119.7079,531.9080485,1.4448,0.6,83300,490,7.2,,"Adv. Mater. 2017, 29, 1601861",,
148,-0.221326394,-0.07551307,3.71047599,70.12,305.01,6.57E-05,2.40307,1357666.105,0.7714,0.665,3.595,1.0567,0.8204,0.2808,3.4699,2.4613,0.8851,0.549,4.6071,2.7653,0.6864,0.6676,3.384,1.0646,0.7972,0.5586,3.9514,2.6454,0.5363,0.5517,2.6119,1.4932,1,2,3,3,1.972103446,2.00202023,2.051478004,2.137655258,126.61833,205.36697,312.7355,312.74618,24889.18116,516.0066082,1.406,0.02,2000000,466,0.01,,"Adv. Mater. 2017, 29, 1601861",,
149,-0.237748752,-0.089882084,7.34853431,31.32,196.94,0.0004308,2.43227,1357668.9,0.7701,0.7101,3.722,0.6134,0.8635,0.5694,4.4413,0.6334,0.8106,0.6122,3.9757,0.65,0.6787,0.7078,3.3818,0.6731,0.7678,0.6303,3.9824,0.9474,0.7074,0.6562,3.4893,1.4394,1,2,2,4,1.917031559,2.047077185,2.087689872,2.48516921,126.62027,205.36042,205.34459,3310.97275,151831.0008,509.8118219,1.4448,0.46,153000,470,3,,"Adv. Mater. 2017, 29, 1601861",,
150,-0.236121179,-0.087860072,7.70217029,46.89,197.68,0.0004941,2.43699,1357668.887,0.7706,0.7159,3.769,0.662,0.8529,0.5785,4.4305,0.3693,0.7324,0.2925,3.3498,2.0781,0.6804,0.7135,3.415,0.7493,0.7697,0.6412,4.0214,1.3437,0.6953,0.6465,3.469,1.5232,1,2,2,4,1.918026329,2.045474517,2.086229613,2.488007235,126.6199,205.34735,205.33253,3310.97065,164054.9297,508.8244104,1.4448,0.87,110126.5823,465,7.9,,"Adv. Mater. 2017, 29, 1601861",,
151,-0.241793879,-0.083582567,11.86465832,324.21,0.96,0.0008757,2.68921,1357668.485,0.8513,0.543,4.1187,1.278,0.7809,0.649,4.0898,0.2501,0.7703,0.6848,3.8406,0.3319,0.6704,0.761,3.4825,0.7824,0.7274,0.5784,3.5486,0.7942,0.7398,0.6748,3.8974,0.2699,1,2,2,4,1.928,2.061728644,2.062715201,2.487,126.61945,205.31212,205.31196,3310.97016,294041.6782,461.1019593,1.4448,0.71,91025.64103,465,7.8,,"Adv. Mater. 2017, 29, 1601861",,
152,-0.22361292,-0.076725772,9.40255289,139.21,195.67,0.000976,2.60339,1357668.825,0.8531,0.5769,4.833,1.4555,0.8346,0.6377,4.2511,0.7927,0.8503,0.5941,4.9394,1.607,0.6969,0.6037,3.5712,1.2337,0.7615,0.6103,4.0947,1.0176,0.7381,0.6023,3.9873,1.3241,1,2,2,4,1.922114981,2.045819151,2.078339963,2.496016426,126.61664,205.29988,205.28412,3310.96355,318772.5571,476.3020523,1.4448,0.6,128000,453,4.7,,"Adv. Mater. 2017, 29, 1601861",,
153,-0.218264696,-0.072015822,14.71033163,48.61,174.32,0.0002801,2.36141,1357667.196,0.7642,0.7608,3.5859,0.9849,0.8205,0.6262,3.9364,0.7243,0.7994,0.2586,3.3472,2.3534,0.6867,0.7647,3.3282,0.978,0.7716,0.6543,3.8149,1.9774,0.7168,0.6252,3.5875,1.6208,1,2,2,4,1.944000257,2.034958722,2.068901641,2.493009827,126.6091,205.33921,205.31766,3310.93703,78567.03191,525.1099978,1.4448,0.56,50900,470,11,,"Adv. Mater. 2017, 29, 1601861",,
154,-0.224581771,-0.122248371,11.85678825,815.7,844.92,3.06E-05,0.46579,1357639.529,0.6025,0.6686,2.5466,0.1807,0.51,0.6098,2.1909,0.3318,0.5902,0.5698,2.3884,0.9007,0.5368,0.6645,2.2923,0.1664,0.4699,0.579,2.0335,0.9314,0.491,0.606,2.1496,0.3334,1,4,2,2,2.05797619,2.42963454,2.538896217,2.542935508,126.55743,3311.0215,205.58616,205.577,331.3013345,2662.143885,1.4448,0.01,100000,432,0.1,,"Adv. Mater. 2017, 29, 1601861",,
155,-0.205199212,-0.054960206,4.21601581,453.31,610.61,0.002562,2.54667,1357670.587,0.9189,0.3547,4.4526,3.7253,0.9029,0.2603,3.0738,2.3491,0.7497,0.5111,4.0342,1.7649,0.5708,0.4591,2.7275,2.9386,0.86,0.3999,4.2333,3.2719,0.6846,0.5137,3.5509,2.7042,1,1,3,3,1.978185279,2.008435461,2.078629597,2.120275925,126.68416,126.57559,312.71321,312.74483,745842.5451,486.9103574,1.4906,0.4,50000,454,8,,"Adv. Mater. 2017, 29, 1601861",,
156,-0.195438739,-0.047440124,4.80592797,78.11,4.19,9.69E-06,2.32233,1357670.264,0.8688,0.6535,5.2574,1.8907,0.9346,0.3755,5.8441,4.2803,0.8602,0.6262,4.863,2.327,0.6592,0.6473,3.154,2.0145,0.6037,0.5884,3.4182,1.0412,0.7705,0.582,4.6342,2.2117,1,1,3,3,1.967842727,1.99804029,2.092005975,2.144312011,126.68634,126.56624,312.61261,312.56498,2368.001461,533.9465106,1.4906,0.58,3169.398907,476,183,,"Adv. Mater. 2017, 29, 1601861",,
157,-0.218127302,-0.056633495,5.3753601,232.11,577.3,0.0006051,2.59957,1357670.221,0.8245,0.553,4.0609,1.7717,0.7155,0.5658,3.8053,1.8032,0.8226,0.341,3.0554,1.5387,0.5294,0.5672,2.5755,1.5861,0.6673,0.5646,3.5298,1.3083,0.8121,0.5498,3.8904,1.2993,1,1,3,3,1.977935793,2.011669207,2.075188907,2.120705071,126.68706,126.57493,312.67127,312.73921,241065.3138,477.0019657,1.4906,0.54,69200,461,7.8,,"Adv. Mater. 2017, 29, 1601861",,
158,-0.208591231,-0.060984669,5.48075003,107.12,244.18,5.26E-05,2.46955,1357671.166,0.6878,0.7625,4.0108,0.7279,0.9729,0.2597,6.1236,5.4068,0.8178,0.5851,4.8435,2.4047,0.6679,0.7946,3.742,0.5372,0.55,0.4334,3.0849,4.0712,0.6909,0.5923,3.8003,2.3415,1,1,3,3,1.971335842,1.973867523,2.102321098,2.145605975,126.64807,126.581,312.72154,312.71762,21127.05528,502.1157701,1.4906,0.9,39130.43478,463,23,,"Adv. Mater. 2017, 29, 1601861",,
159,-0.174750335,-0.048233313,1.9837948,0.08,0.02,0.0006167,2.30872,1357674.068,0.8938,0.5484,4.474,2.1146,0.9181,0.5648,4.5828,1.5256,0.9086,0.2321,4.8992,4.1746,0.851,0.5474,4.3291,2.1305,0.8346,0.5662,4.2833,1.5104,0.7354,0.6624,3.6769,1.0248,1,1,2,2,1.959176358,1.959176358,2.103622827,2.103622827,126.52212,126.52212,205.53412,205.53411,175780.2396,537.0941474,1.406,0.56,114285.7143,484,4.9,,"Adv. Mater. 2017, 29, 1601861",,
160,-0.171757629,-0.040691675,2.96979093,2.44,62.81,0.0005285,2.44917,1357672.546,0.8961,0.5373,4.5685,2.1833,0.9199,0.5584,4.6424,1.4745,0.9073,0.1978,4.86,4.2429,0.8508,0.5347,4.3949,2.206,0.8183,0.5615,4.2941,1.4019,0.7401,0.6643,3.6648,0.9913,1,1,2,2,1.963202231,1.963202231,2.143543561,2.143543561,126.51984,126.5198,205.54023,205.54022,237002.4314,506.293969,1.406,0.37,109000,474,3.4,,"Adv. Mater. 2017, 29, 1601861",,
161,-0.171220853,-0.043969043,3.2368525,0.02,0.24,0.0006358,2.32141,1357674.046,0.891,0.5501,4.4598,2.0957,0.9166,0.5672,4.5642,1.4305,0.9091,0.1566,4.9256,4.4031,0.8466,0.5491,4.306,2.1135,0.8343,0.5681,4.2699,1.4065,0.7307,0.6693,3.673,1.0254,1,1,2,2,1.959176358,1.959176358,2.102028782,2.102028782,126.52175,126.52176,205.5297,205.5297,182637.304,534.1581194,1.406,0.63,110526.3158,486,5.7,,"Adv. Mater. 2017, 29, 1601861",,
162,-0.208582078,-0.065050752,12.74508773,5.34,48.42,0.001777,2.52423,1357677.278,0.8739,0.6176,3.833,0.5187,0.8756,0.657,3.4882,0.3189,0.8776,0.6919,3.9464,0.5189,0.8093,0.6191,3.634,0.4932,0.7091,0.6884,3.3221,0.2202,0.7849,0.6448,4.0415,1.4971,1,1,1,1,2.00625148,2.00625148,2.069543186,2.069543186,126.53833,126.53835,126.72111,126.7208,813870.3852,491.2389125,1.4448,0.77,241000,471,3.2,,"Adv. Mater. 2017, 29, 1601861",,
163,-0.204171151,-0.079229906,16.39193211,129.3,805.57,0.0001581,1.96732,1357669.571,0.8106,0.5601,4.1186,1.689,0.8631,0.4899,4.6213,2.6703,0.5313,0.5283,3.0587,1.7455,0.7077,0.5636,3.5034,1.667,0.7718,0.5111,4.0451,2.4323,0.697,0.6204,3.9628,1.3291,1,1,3,3,1.956418667,1.977594751,2.11555241,2.118587737,126.60021,126.68469,312.62236,312.57728,66473.85556,630.2990871,1.412,0.03,60000,457,0.5,,"Adv. Mater. 2017, 29, 1601861",,
164,-0.202469635,-0.07922523,16.39340408,91.45,752.89,0.0003647,1.9609,1357669.693,0.8228,0.5699,4.1615,1.6055,0.8768,0.4867,4.838,3.0217,0.6291,0.4928,3.6948,0.9218,0.7377,0.5712,3.5948,1.5868,0.7818,0.5082,4.2636,2.7447,0.6913,0.5983,3.7635,0.6046,1,1,3,3,1.953637889,1.979084637,2.113562396,2.118938177,126.60146,126.67714,312.62916,312.57569,117990.895,632.3626906,1.412,0.18,51400,443,3.5,,"Adv. Mater. 2017, 29, 1601861",,
165,-0.198146265,-0.077092538,16.06855331,96.98,764.75,0.0002684,1.90631,1357669.581,0.8259,0.5596,4.2392,1.6587,0.8811,0.48,4.8818,2.9268,0.5455,0.528,3.1499,1.465,0.7322,0.561,3.6228,1.6471,0.8001,0.4964,4.4128,2.7125,0.6787,0.6256,3.8826,1.2468,1,1,3,3,1.954418072,1.981254401,2.116499468,2.120667348,126.60018,126.6797,312.63145,312.56247,91357.72757,650.4713294,1.412,0.07,38900,460,1.8,,"Adv. Mater. 2017, 29, 1601861",,
166,-0.198543673,-0.076512057,15.99985988,97.76,756.87,0.0002043,1.92834,1357669.565,0.8247,0.562,4.2464,1.6291,0.8771,0.4812,4.8783,2.9493,0.544,0.5275,3.146,1.6894,0.7296,0.5631,3.6252,1.6203,0.8003,0.4962,4.4369,2.743,0.677,0.624,3.8628,1.2231,1,1,3,3,1.954714046,1.978799889,2.119868864,2.120002594,126.601,126.68038,312.55402,312.55931,75887.02757,643.0401278,1.412,0.08,44400,461,1.8,,"Adv. Mater. 2017, 29, 1601861",,
167,-0.245879355,-0.103680361,26.25980102,66.93,111.15,0.0001834,2.35147,1357663.523,0.8506,0.5898,4.6216,1.268,0.9181,0.572,5.1068,1.6663,0.9218,0.4496,5.3157,2.2778,0.6913,0.5803,3.4946,1.1704,0.7645,0.5607,4.0757,1.0264,0.6151,0.6118,3.2076,2.3621,2,2,2,2,1.998330053,2.023137662,2.032018209,2.054733316,205.41782,205.38796,205.32381,205.30022,55049.04876,527.3297129,1.4448,0.6,52200,452,11.5,,"Adv. Mater. 2017, 29, 1601861",,
168,-0.239796916,-0.093639535,24.67583557,71.13,98.81,0.0004224,2.42307,1357664.635,0.8321,0.6519,4.1896,0.6923,0.915,0.4306,5.0227,2.2976,0.9352,0.5095,5.1128,1.4321,0.6871,0.6371,3.4216,0.9533,0.7173,0.4933,3.6628,1.4597,0.6339,0.6625,3.296,1.5528,2,2,2,2,2.010891345,2.019924751,2.024545875,2.05042776,205.38412,205.35544,205.32302,205.29465,130017.5109,511.7474939,1.4448,0.67,72000,460,9.3,,"Adv. Mater. 2017, 29, 1601861",,
169,-0.236990333,-0.093035564,24.4593385,76.14,95.57,0.0004241,2.41866,1357664.668,0.8551,0.5209,4.5407,1.8126,0.9532,0.5782,5.5184,1.2893,0.8871,0.5252,4.8506,1.9948,0.6878,0.5428,3.428,1.515,0.7245,0.5629,3.7573,1.1581,0.6536,0.6623,3.5646,1.2683,2,2,2,2,2.009982587,2.019352619,2.025017531,2.051172835,205.383,205.35452,205.31975,205.29442,122185.5833,512.6805752,1.4448,0.82,105000,461,7.8,,"Adv. Mater. 2017, 29, 1601861",,
170,-0.187137926,-0.071722587,7.32099543,404.83,327.96,0.0005871,2.16608,1357673.025,0.966,0.3238,5.2977,4.4298,0.9589,0.3376,4.8796,3.8351,0.9561,0.3135,4.009,3.4412,0.9297,0.3254,5.1419,4.4053,0.9336,0.3409,4.6419,3.8097,0.9273,0.3196,3.8744,3.2423,1,1,2,2,1.958050306,1.996103705,2.095923901,2.151682597,126.53383,126.51952,205.48714,205.49709,153585.9887,572.4626976,1.4906,0.83,111000,430,7.5,,"Adv. Mater. 2017, 29, 1601861",,
171,-0.184671948,-0.071083087,9.19418574,330.81,260.93,0.0006561,2.12432,1357674.906,0.9684,0.3328,5.3402,4.4525,0.9668,0.2978,4.8725,3.6339,0.9663,0.3115,4.2206,3.8102,0.9355,0.3348,5.1716,4.4586,0.938,0.3016,4.554,3.5875,0.9314,0.3204,3.8908,3.4173,1,1,1,2,1.967344911,2.034728729,2.077041646,2.1020245,126.53474,126.53021,126.72074,205.48854,150613.1218,583.7162009,1.4906,0.58,232000,442,2.5,,"Adv. Mater. 2017, 29, 1601861",,
172,-0.18053875,-0.07247965,9.01239081,81.51,218.81,0.0001692,2.0393,1357674.058,0.9754,0.3397,5.3396,3.9655,0.9507,0.382,4.9775,3.4745,0.9659,0.3176,4.3221,3.6108,0.9463,0.3412,5.1166,3.9428,0.908,0.3849,4.8809,3.4787,0.8546,0.4174,4.8061,3.0363,1,1,1,2,1.991394988,2.013663825,2.079189506,2.14669001,126.53447,126.51751,126.72202,205.4958,76771.15794,608.0517825,1.4906,0.89,217000,452,4.1,,"Adv. Mater. 2017, 29, 1601861",,
173,-0.18057512,-0.08170097,7.76066887,124.83,449.3,0.0009722,1.77223,1357670.714,0.9591,0.3267,5.1931,3.9635,0.9305,0.4079,4.912,3.3375,0.9347,0.3285,4.2979,3.5076,0.9349,0.3297,5.0067,3.9419,0.8712,0.4095,4.6743,3.3269,0.8857,0.3267,3.9588,3.1726,1,1,2,2,1.970854383,1.992658024,2.167834173,2.170732826,126.50078,126.53543,205.48039,205.51278,201655.1912,699.6834497,1.4906,0.85,189000,449,4.5,,"Adv. Mater. 2017, 29, 1601861",,
174,-0.204173118,-0.07907795,16.39730441,129.18,805.86,0.0001586,1.97183,1357669.551,0.8103,0.5602,4.1178,1.6899,0.8626,0.4901,4.6215,2.6741,0.5308,0.5288,3.055,1.7333,0.7078,0.5637,3.504,1.6672,0.7708,0.5115,4.0405,2.4336,0.6972,0.6212,3.9651,1.3184,1,1,3,3,1.956418667,1.978283347,2.114830726,2.117989141,126.60028,126.68374,312.62281,312.57612,66789.693,628.8574573,1.412,0.03,60000,457,0.5,,"Chem. Sci., 2013,4, 2630-2644",,
175,-0.202432311,-0.079111496,16.39533515,91.42,754.02,0.0003746,1.96426,1357669.673,0.823,0.5687,4.1674,1.6145,0.8775,0.4872,4.8406,3.0076,0.6369,0.492,3.7385,0.9982,0.7381,0.57,3.5981,1.5973,0.783,0.5083,4.273,2.7358,0.6946,0.5905,3.7229,0.6236,1,1,3,3,1.953637889,1.979813375,2.113498048,2.118831282,126.60141,126.6761,312.62877,312.57477,124322.3584,631.2809913,1.412,0.18,51400,443,3.5,,"Chem. Sci., 2013,4, 2630-2644",,
176,-0.198932893,-0.058624686,16.81433509,17.69,722.41,0.000675,2.47327,1357668.138,0.8071,0.551,4.3037,1.5783,0.8756,0.5575,4.4317,1.5948,0.8549,0.6157,5.1547,1.2222,0.7394,0.5579,3.877,1.5176,0.7694,0.5902,3.5798,1.3974,0.6979,0.6181,4.1831,1.1295,1,1,3,3,1.967806139,1.967806139,2.125531698,2.125531698,126.62049,126.62054,312.58238,312.58239,226488.839,501.360547,1.412,0.07,38888.88889,460,1.8,,"Chem. Sci., 2013,4, 2630-2644",,
177,-0.198504155,-0.076511429,16.00165456,97.7,756.19,0.0002009,1.92677,1357669.544,0.8245,0.5624,4.2438,1.6258,0.8766,0.4806,4.8754,2.9572,0.5437,0.5259,3.1432,1.6991,0.7294,0.5635,3.6239,1.6157,0.7998,0.4958,4.433,2.7487,0.677,0.6238,3.8615,1.224,1,1,3,3,1.954714046,1.979459017,2.119368302,2.120002594,126.60097,126.68054,312.55264,312.5588,74766.74363,643.5640995,1.412,0.08,44444.44444,461,1.8,,"Chem. Sci., 2013,4, 2630-2644","Chem. Sci., 2013,4, 2630-2644",
178,-0.201153371,-0.067640927,18.33386783,39.81,42.6,1.81E-05,2.0117,1357672.643,0.8537,0.7138,4.6054,1.1701,0.894,0.4712,6.1641,2.3848,0.9436,0.4445,7.6514,0.8901,0.7087,0.6807,3.2969,1.3834,0.7257,0.6242,3.5021,1.3592,0.758,0.5846,4.723,4.2042,1,1,3,3,1.943181155,1.948720093,2.080460045,2.081448774,126.61306,126.61319,312.59408,312.50352,4086.94549,616.3940945,1.4305,0.15,3171.247357,531,47.3,,"Chem. Sci., 2013,4, 2630-2644",,
179,-0.217741422,-0.099852075,8.04374548,0.02,0.1,0.00171,1.97286,1357664.178,0.8751,0.5652,4.7847,0.9205,0.8333,0.6655,4.8096,0.3639,0.8841,0.6431,5.1289,1.4211,0.7861,0.5751,4.1833,0.9298,0.7173,0.662,3.8506,0.6908,0.772,0.7256,4.2005,0.6605,2,2,3,3,1.984001008,1.984001008,2.012380928,2.012380928,205.22058,205.22058,312.62237,312.62236,288801.5239,628.5291404,1.4448,0.2,55600,618,3.6,,"Chem. Asian J., 2014, 9, 2984-2994",,
180,-0.206883206,-0.094504337,6.51292619,23.64,104.34,0.0006369,1.8318,1357663.335,0.8797,0.6006,5.023,1.2139,0.8688,0.6244,5.2794,1.8935,0.8974,0.6109,5.4511,2.4309,0.7782,0.6058,4.1959,1.2522,0.7504,0.6242,4.0871,1.3666,0.7569,0.744,4.2446,0.5263,2,2,3,3,1.976421261,1.986082828,2.027571454,2.036485453,205.21219,205.20888,312.46511,312.44772,92848.03951,676.9297958,1.4448,0.14,28000,643,5,,"Chem. Asian J., 2014, 9, 2984-2994",,
181,-0.206335032,-0.093927345,7.54907374,25.28,112.47,0.0005646,1.83262,1357663.165,0.8799,0.5999,5.0247,1.1691,0.8711,0.627,5.3127,1.7561,0.8915,0.613,5.4041,2.3981,0.7779,0.6058,4.2015,1.1864,0.7549,0.6269,4.2048,1.2135,0.764,0.739,4.2861,0.5937,2,2,3,3,1.976211021,1.987684834,2.026845332,2.034475854,205.21175,205.21064,312.43045,312.54302,82617.83417,676.6269057,1.4448,0.06,10900,642,5.5,,"Chem. Asian J., 2014, 9, 2984-2994",,
182,-0.212034056,-0.098027668,7.76403672,17.55,108.55,0.0008694,1.88418,1357663.676,0.8764,0.5902,4.9843,1.0457,0.8575,0.636,5.2129,1.5583,0.8915,0.6218,5.4049,2.0991,0.7794,0.5987,4.2205,1.0733,0.747,0.6339,4.1249,1.1329,0.7608,0.7452,4.2171,0.4123,2,2,3,3,1.983631014,1.989769082,2.01796556,2.023803597,205.21867,205.21716,312.5068,312.50988,134073.3233,658.1112208,1.4448,0.06,17100,632,3.5,,"Chem. Asian J., 2014, 9, 2984-2994",,
183,-0.211799163,-0.096810271,8.42384933,6.97,111.14,0.0008243,1.89227,1357663.613,0.8754,0.6008,4.9928,0.8125,0.8588,0.6493,5.268,1.5792,0.88,0.6392,5.255,1.8487,0.7696,0.6099,4.2488,0.8018,0.7531,0.6475,4.2378,0.9971,0.7754,0.7236,4.254,0.526,2,2,3,3,1.986501951,1.987868708,2.015524001,2.027042427,205.21055,205.22445,312.63381,312.63228,128184.3591,655.2976055,1.4448,0.1,16900,631,5.9,,"Chem. Asian J., 2014, 9, 2984-2994",,
184,-0.209744821,-0.093109932,5.34621005,5.17,115.79,0.0009063,1.92481,1357663.754,0.8748,0.6109,5.0049,0.7899,0.8481,0.6641,5.2271,1.4706,0.888,0.6423,5.3252,1.907,0.7639,0.6212,4.1912,0.801,0.745,0.6578,4.198,0.9036,0.7871,0.6988,4.366,0.8777,2,2,3,3,1.98287342,1.985693833,2.016045882,2.027447163,205.21147,205.20198,312.64436,312.6346,145833.9153,644.2194295,1.4448,0.2,31700,624,6.3,,"Chem. Asian J., 2014, 9, 2984-2994",,
185,-0.190024741,-0.071758716,5.76036582,36.75,115.17,0.000204,2.15101,1357669.4,0.9321,0.4628,5.6161,4.0154,0.9798,0.3283,5.7905,4.3121,0.9352,0.3826,5.7122,4.3687,0.8367,0.4651,4.8473,4.0382,0.6981,0.6446,3.539,1.5809,0.9128,0.3618,5.2411,3.4514,1,1,2,2,1.994280071,1.99797998,2.223777417,2.371513019,126.55928,126.49564,205.39482,205.49134,47142.23667,576.4733776,1.406,1,238095.2381,520,4.2,,"Chem. Mater. 2020, 32, 537 ",,
186,-0.191445879,-0.093308673,6.15291827,90.61,300.43,0.0003885,1.5797,1357673.146,0.9238,0.4407,5.6942,4.6732,0.9415,0.4397,6.2252,4.7573,0.8904,0.3333,4.6403,3.3588,0.8056,0.5374,4.4166,3.5621,0.8414,0.5533,5.0785,3.5175,0.8799,0.5224,5.4595,4.0354,1,1,2,2,1.973726931,1.999222599,2.106271113,2.192763097,126.56579,126.51054,205.42037,205.40055,54550.89093,784.9591695,1.406,0.52,288888.8889,632,1.8,,"Chem. Mater. 2020, 32, 537 ",,
187,-0.196663603,-0.082652646,4.96662555,150.68,145.73,5.05E-05,1.94778,1357669.414,0.9211,0.4374,5.4749,4.3374,0.9291,0.4466,5.8535,4.1378,0.8632,0.2082,3.7931,2.8095,0.6739,0.6816,3.3983,1.8869,0.8465,0.4753,4.9151,4.0341,0.8774,0.4583,5.2175,4.1119,1,1,2,2,1.990121604,1.994851624,2.1975996,2.344007253,126.56823,126.49076,205.37996,205.49297,14002.07008,636.6222058,1.406,0.65,118181.8182,542,5.5,,"Chem. Mater. 2020, 32, 537 ",,
188,-0.196006667,-0.07220679,5.29316386,144.03,197.69,9.75E-05,2.15363,1357669.621,0.9009,0.4837,5.0964,3.708,0.9759,0.3492,5.5031,4.0464,0.9195,0.4122,5.5645,4.1276,0.7195,0.6457,3.5768,1.5841,0.7903,0.5859,4.4166,2.5203,0.8551,0.4265,4.7759,3.1442,1,1,2,2,1.989342856,1.99406018,2.191350725,2.282200035,126.56899,126.49046,205.37473,205.47159,32829.91813,575.7720686,1.406,0.78,141818.1818,498,5.5,,"Chem. Mater. 2020, 32, 537 ",,
189,-0.192382819,-0.076452119,4.61209606,109.02,239.48,0.0002193,2.03779,1357671.494,0.9083,0.4714,5.1264,3.9894,0.9388,0.4059,5.8406,4.3933,0.8426,0.2383,3.4449,2.3427,0.8396,0.4789,4.5482,3.8925,0.8097,0.4594,4.5128,4.1225,0.7215,0.5546,4.013,2.7902,1,1,2,2,1.981591532,1.988591461,2.157694371,2.184997025,126.49729,126.56917,205.57768,205.36555,51400.32143,608.5023481,1.406,0.81,184090.9091,514,4.4,,"Chem. Mater. 2020, 32, 537 ",,
190,-0.190917989,-0.074614878,4.72504412,60.03,247.8,0.0002908,2.16243,1357671.853,0.9302,0.453,5.3711,4.2304,0.9462,0.439,5.8476,4.3472,0.9769,0.3352,5.5346,4.1177,0.8872,0.4538,5.0737,4.2126,0.828,0.476,4.3529,3.7815,0.7701,0.5517,4.2959,2.5081,1,1,2,2,1.972779004,1.988241686,2.130634647,2.188106259,126.49741,126.54362,205.74948,205.36456,79919.14181,573.4289665,1.406,1,277777.7778,468,3.6,,"Chem. Mater. 2020, 32, 537 ",,
191,-0.189041081,-0.072614679,5.49979891,76.83,278.57,0.0002752,2.14988,1357672.159,0.9262,0.4596,5.2585,4.1287,0.9517,0.4187,6.0343,4.5999,0.9022,0.2877,3.823,1.9354,0.8844,0.4601,4.9772,4.1177,0.8443,0.4559,4.5627,4.0616,0.7666,0.5496,4.2963,2.4601,1,1,2,2,1.976630213,1.982397538,2.098048855,2.194202133,126.50126,126.53954,205.7405,205.38633,84535.22112,576.7763782,1.406,1,714285.7143,476,1.4,,"Chem. Mater. 2020, 32, 537 ",,
