Structure,HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,Calc_lambda,refractive_index,Quantum Yield,Exp. Kr,lambda,Exp. lifetime,,Refer,,
33,-0.227509587,-0.102201118,14.80902735,161.25,76.78,0.0002103,2.16479,1357667.973,0.8926,0.5273,5.5163,4.0201,0.8719,0.663,4.8934,1.6071,0.9085,0.4972,5.6361,3.4819,0.7435,0.5633,4.3567,3.0911,0.8128,0.5976,4.7851,2.6813,0.7946,0.5777,4.5806,2.6616,2,1,2,4,1.970460099,2.002317407,2.173275178,2.390103136,205.28633,126.58807,205.40309,3311.00066,46816.39603,572.8038285,1.4448,0.73,76842.10526,529,9.5,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
34,-0.211399724,-0.093982046,15.24187177,64.44,326.75,0.0009499,2.05808,1357669.125,0.8581,0.4514,5.2332,3.8227,0.9411,0.4152,6.2504,5.1783,0.8893,0.5424,5.9762,3.3479,0.7771,0.4542,4.5133,3.9231,0.8615,0.467,5.2558,4.3332,0.7277,0.6311,4.2584,1.3233,1,2,2,4,1.956136243,1.966381703,2.168675863,2.408163408,126.56959,205.31497,205.40666,3311.00492,212575.3734,602.5033041,1.4448,0.23,69696.9697,585,3.3,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
35,-0.221574325,-0.094850938,16.91273063,112.7,42.45,8.37E-06,2.12894,1357667.461,0.9113,0.4667,5.7358,4.2611,0.921,0.6172,5.4904,2.9043,0.8348,0.6017,4.7605,2.3332,0.7247,0.5731,3.8364,3.4109,0.8783,0.5112,5.7017,3.8776,0.7789,0.5961,4.3542,2.0524,2,1,2,4,1.973627371,2.00572705,2.188366971,2.386170572,205.30227,126.57536,205.41079,3310.99898,2213.244951,582.4494819,1.4448,0.1,142857.1429,561,0.7,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
36,-0.216290762,-0.093382036,15.44258745,62.07,242.54,0.0002234,1.85499,1357667.678,0.7784,0.6426,4.4023,1.7603,0.9228,0.4982,5.6376,4.1106,0.8373,0.5953,5.2359,1.6619,0.6511,0.6291,3.5382,2.0381,0.8188,0.5356,4.6521,3.5988,0.7099,0.6021,4.1525,0.4089,1,2,2,4,1.973090469,1.975780858,2.167324157,2.38910569,126.63036,205.29235,205.39178,3311.00769,44033.1494,668.4672155,1.4448,0.25,24752.47525,588,10.1,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
37,-0.208489732,-0.096803429,15.7373286,36.72,230.95,7.58E-05,1.66192,1357667.261,0.8068,0.6601,4.8006,2.2242,0.9352,0.4569,6.1086,4.748,0.8985,0.5569,6.0922,3.7021,0.6968,0.6471,3.955,2.4181,0.8594,0.4922,5.2153,4.4271,0.7112,0.61,4.2595,0.3118,2,1,2,4,1.979340547,1.981893539,2.163956793,2.395570287,205.29444,126.61251,205.39093,3311.02766,20519.04631,746.1249639,1.4448,0.03,7333.333333,644,4.5,,"Angew. Chem. Int. Ed. 2015, 54, 2084",,
38,-0.215555209,-0.093328365,16.41261664,72.25,193.78,0.0002003,2.04201,1357668.564,0.8197,0.633,5.3027,2.722,0.9258,0.4908,6.4873,5.1571,0.9031,0.5286,6.6423,3.4942,0.7436,0.6145,4.5532,3.0077,0.8296,0.521,5.5344,4.5028,0.732,0.5986,4.3859,0.6032,2,1,2,4,1.963586769,1.987529874,2.178510041,2.396812258,205.29855,126.59095,205.40269,3310.99926,59224.80987,607.2448225,1.4448,0.73,74489.79592,568,9.8,,"Chem. Eur. J. 2010, 16, 14131 ",,
39,-0.217362528,-0.100769018,15.7925742,107.15,271.68,0.000409,2.03412,1357670.029,0.855,0.5162,5.3548,3.9421,0.8522,0.6532,5.1525,2.4329,0.873,0.555,5.443,2.8042,0.7831,0.5359,4.8197,3.7305,0.7998,0.6442,4.793,2.5774,0.7536,0.5694,4.2002,2.7333,2,1,2,4,1.95735587,1.977963346,2.163012945,2.401751652,205.31481,126.58825,205.41685,3311.00576,104640.7785,609.6002202,1.4448,0.16,72727.27273,588,2.2,,"Chem. Eur. J. 2010, 16, 14131 ",,
40,-0.215333754,-0.091370858,14.62665425,58.2,184.89,5.87E-05,2.0405,1357668.572,0.8057,0.6611,5.0643,2.3595,0.9302,0.4635,6.5891,5.3774,0.9289,0.5032,6.9665,4.3304,0.7359,0.6461,4.4036,2.6259,0.8243,0.4937,5.5011,4.7893,0.7135,0.5655,3.9838,1.6622,2,1,2,4,1.966445016,1.988354848,2.175889933,2.395508088,205.30742,126.59117,205.39744,3311.00091,21008.94325,607.6941926,1.4448,0.35,38461.53846,563,9.1,,"Chem. Eur. J. 2010, 16, 14131 ",,
41,-0.227318252,-0.105530565,18.22254779,652.67,27.79,0.0001758,2.03866,1357669.264,0.8527,0.4984,5.0862,3.013,0.8558,0.6265,5.9814,2.0701,0.8084,0.3074,4.6749,4.0979,0.7632,0.6321,5.058,2.2331,0.815,0.4937,4.7947,3.2237,0.7712,0.5633,4.4643,1.0233,2,1,2,4,1.935924844,2.016905798,2.184717373,2.371270967,205.31563,126.587,205.41156,3310.98312,51212.6697,608.2426692,1.4448,0.07,70000,568,1,,"Chem. Eur. J. 2010, 16, 14131 ",,
42,-0.226120447,-0.10229907,18.69684113,512.74,59.42,0.0001284,2.08138,1357668.925,0.8505,0.5244,5.5121,2.5173,0.8498,0.6237,5.9675,0.9787,0.8065,0.2799,5.1208,4.6185,0.7551,0.6672,5.076,1.7153,0.8096,0.4876,5.0498,3.5687,0.7318,0.6032,4.3791,0.5179,2,1,2,4,1.942199526,2.014611873,2.183042602,2.375745357,205.3078,126.58616,205.40128,3310.98525,46361.00409,595.7585832,1.4448,0.47,35606.06061,558,13.2,,"Chem. Eur. J. 2010, 16, 14131 ",,
43,-0.21456665,-0.102787152,13.70584845,58.17,87.06,0.0003367,2.04779,1357677.762,0.9421,0.4236,5.8962,4.637,0.914,0.4999,4.4952,2.9189,0.9501,0.379,6.1959,4.8981,0.8987,0.4347,5.5057,4.5094,0.8461,0.5064,4.2312,2.8721,0.6944,0.6234,3.638,1.7246,1,2,1,2,1.917045905,2.002419786,2.028084071,2.166457939,126.81243,205.35693,126.58102,205.42616,102483.7738,605.5308406,1.4448,0.04,100000,582,0.4,,"J. Am. Chem. Soc. 2004, 126, 4958",,
44,-0.222685877,-0.104350927,16.44322784,65.99,76.47,0.0003563,2.1786,1357678.349,0.906,0.4437,5.8088,4.46,0.8597,0.5007,4.5165,2.8799,0.932,0.4195,6.0394,4.4244,0.8376,0.4586,5.3465,4.2538,0.8071,0.507,4.2417,2.821,0.6707,0.637,3.5937,1.5086,1,2,1,2,1.908727325,1.995732447,2.028476522,2.164502021,126.84405,205.35396,126.58163,205.41698,129689.3992,569.1728633,1.4448,0.06,100000,560,0.6,,"J. Am. Chem. Soc. 2004, 126, 4958",,
