HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_Kr,refractive index,Exp. Kr
-0.237748752,-0.089882084,7.34853431,1.495821753,2.294333934,-3.365724305,2.43227,6.13279387,0.7701,0.7101,3.722,0.6134,0.8635,0.5694,4.4413,0.6334,0.8106,0.6122,3.9757,0.65,0.6787,0.7078,3.3818,0.6731,0.7678,0.6303,3.9824,0.9474,0.7074,0.6562,3.4893,1.4394,1,2,2,4,1.917031559,2.047077185,2.087689872,2.48516921,2.102503235,2.312516744,2.312483265,3.519955606,5.181360455,1.4448,5.184691431
-0.171220853,-0.043969043,3.2368525,-1.698970004,-0.619788758,-3.196679476,2.32141,6.132795516,0.891,0.5501,4.4598,2.0957,0.9166,0.5672,4.5642,1.4305,0.9091,0.1566,4.9256,4.4031,0.8466,0.5491,4.306,2.1135,0.8343,0.5681,4.2699,1.4065,0.7307,0.6693,3.673,1.0254,1,1,2,2,1.959176358,1.959176358,2.102028782,2.102028782,2.10216519,2.102165225,2.312874588,2.312874588,5.261589488,1.406,5.043465694
-0.206756727,-0.083662277,8.32372646,0.876217841,2.257870486,-3.056653902,2.33204,6.132793997,0.9415,0.4617,5.3678,3.402,0.9317,0.3893,5.7849,4.4581,0.8463,0.5406,4.8183,1.872,0.8689,0.4662,4.8528,3.2635,0.7519,0.5676,4.0743,1.5766,0.829,0.4528,4.7924,3.4314,1,2,2,3,1.918945023,2.016047122,2.098243551,2.124310241,2.102496547,2.312409003,2.312482145,2.494975872,5.41500835,1.4448,5.285557309
-0.223089871,-0.114318853,11.4761361,1.002597981,2.06228107,-2.847100404,1.75474,6.13279227,0.8839,0.5826,5.0834,0.6083,0.8603,0.6635,5.2836,1.219,0.883,0.6498,5.3742,0.9693,0.7896,0.5962,4.3065,0.5503,0.7559,0.6563,4.0934,0.3926,0.7775,0.7367,4.4882,0.4365,2,2,3,3,1.98296949,1.983855842,2.010792132,2.01839243,2.312237332,2.312255869,2.494988223,2.495034054,5.279077498,1.4448,4.31386722
-0.217741422,-0.099852075,8.04374548,-1.698970004,-1,-2.76700389,1.97286,6.132792359,0.8751,0.5652,4.7847,0.9205,0.8333,0.6655,4.8096,0.3639,0.8841,0.6431,5.1289,1.4211,0.7861,0.5751,4.1833,0.9298,0.7173,0.662,3.8506,0.6908,0.772,0.7256,4.2005,0.6605,2,2,3,3,1.984001008,1.984001008,2.012380928,2.012380928,2.312220911,2.312220911,2.495020051,2.495020037,5.460599481,1.4448,4.745074792
-0.221703564,-0.100455359,18.6856941,0.556302501,0.989449818,-3.540306024,2.24375,6.132796655,0.8953,0.5069,6.3092,4.3712,0.8626,0.4758,5.0265,3.0509,0.8698,0.2505,5.27,3.9977,0.8062,0.5188,5.5714,3.8407,0.7844,0.5157,4.5442,2.5447,0.7466,0.5645,4.4321,2.1239,1,2,1,2,1.925454232,1.97796006,2.025607069,2.176206332,2.103285781,2.312478084,2.102367939,2.312595957,4.987633881,1.4448,5.255272505
-0.196663603,-0.082652646,4.96662555,2.178055612,2.163548965,-4.3,1.94778,6.132794034,0.9211,0.4374,5.4749,4.3374,0.9291,0.4466,5.8535,4.1378,0.8632,0.2082,3.7931,2.8095,0.6739,0.6816,3.3983,1.8869,0.8465,0.4753,4.9151,4.0341,0.8774,0.4583,5.2175,4.1119,1,1,2,2,1.990121604,1.994851624,2.1975996,2.344007253,2.102324707,2.102058802,2.312558065,2.312796969,4.146192247,1.406,5.072550667
-0.191461256,-0.116609677,3.40757003,1.968436248,2.523746467,-3.185552621,1.24618,6.132794373,0.971,0.2848,5.9522,4.5482,0.9408,0.3702,5.3985,4.1218,0.9497,0.3564,5.3241,3.7538,0.9559,0.2881,5.776,4.5323,0.8972,0.3715,5.0129,4.1029,0.9205,0.3784,5.4662,3.8892,1,1,2,2,1.982253516,1.998327801,2.173168194,2.190175564,2.102089118,2.102125096,2.312809163,2.31261765,4.902585789,1.406,5.431798276
-0.208731602,-0.080707325,4.17634697,1.293362555,1.007747778,-4.62,2.26253,6.132793646,0.9389,0.5459,5.1561,2.9083,0.8102,0.6609,4.1847,0.9527,0.8934,0.5099,5.0065,1.2952,0.7604,0.5762,4.1692,2.1523,0.8039,0.6255,4.2143,1.5203,0.745,0.6109,3.7809,0.7954,1,2,2,3,1.96196738,2.005093763,2.070514429,2.173331774,2.102318153,2.312321547,2.31239409,2.494989293,3.764812302,1.4448,4.23299611
-0.191484528,-0.075303534,9.5697321,1.526339277,2.384156207,-3.463946845,1.96107,6.132792228,0.866,0.512,5.6706,2.9733,0.8944,0.3839,6.4225,4.4384,0.9373,0.382,7.5562,2.2467,0.7556,0.5171,4.404,2.8783,0.7288,0.4792,3.8404,5.0882,0.7764,0.4699,5.1603,1.1722,2,2,3,3,1.97102968,1.976836614,2.042601772,2.04522346,2.312380763,2.312369889,2.494700265,2.49498921,4.778951618,1.4448,4.428134794
-0.215080207,-0.095046853,11.08598511,1.603577368,2.332337449,-3.575445023,1.82223,6.132796039,0.8316,0.6053,4.2029,2.0003,0.9202,0.4001,6.0021,4.5278,0.8654,0.4991,4.474,2.5274,0.6776,0.6154,3.4729,1.8871,0.8169,0.6673,4.167,1.6584,0.8819,0.4094,5.6685,4.3444,1,1,2,2,1.969709623,1.978067997,2.019729932,2.173254242,2.102522511,2.103119767,2.312471612,2.312623337,4.767109454,1.4448,4.647817482
-0.241793879,-0.083582567,11.86465832,2.510826406,-0.017728767,-3.05764465,2.68921,6.132793737,0.8513,0.543,4.1187,1.278,0.7809,0.649,4.0898,0.2501,0.7703,0.6848,3.8406,0.3319,0.6704,0.761,3.4825,0.7824,0.7274,0.5784,3.5486,0.7942,0.7398,0.6748,3.8974,0.2699,1,2,2,4,1.928,2.061728644,2.062715201,2.487,2.102500423,2.312414587,2.312414249,3.519955267,5.468408893,1.4448,4.959163746
